SMILES,Marked Bonds,
COc1cc(N(C)CCN(C)C)c(N)cc1Nc1nccc(-c2cn(C)c3ccccc23)n1,"[(24, 25), (4, 5), (7, 8)]",
C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N(C)CCN(C)C,"[(2, 4), (29, 30), (8, 9), (11, 12)]",
CC(C)(C)OC(=O)N1CCN(c2ccc([N+](=O)[O-])nc2)CC1,"[(10, 11)]",
C=C(OCCCC)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)nc2n(C2CCCC2)c1=O,"[(1, 7)]",
C=C(OCCCC)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)nc2n(C2CCCC2)c1=O,"[(1, 7), (13, 14)]",
C=C(OCCCC)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)nc2n(C2CCCC2)c1=O,"[(1, 7), (13, 14), (36, 42), (8, 10)]",
C=C(OCCCC)c1c(C)c2cnc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)nc2n(C2CCCC2)c1=O,"[(1, 7), (36, 42), (8, 10), (13, 14), (35, 36)]",
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)ncc12,"[(14, 15)]",
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)ncc12,"[(14, 15), (2, 3)]",
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)ncc12,"[(14, 15), (2, 3), (4, 6), (37, 1)]",
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Nc3ccc(N4CCN(C(=O)OC(C)(C)C)CC4)cn3)ncc12,"[(14, 15), (4, 6), (37, 1), (2, 3), (6, 12)]",
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Cl)ncc12,"[(2, 3)]",
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Cl)ncc12,"[(2, 3), (4, 6), (18, 1)]",
Cc1c(Br)c(=O)n(C2CCCC2)c2nc(Cl)ncc12,"[(4, 6), (18, 1), (2, 3), (6, 12)]",
Cc1cc(=O)n(C2CCCC2)c2nc(Cl)ncc12,"[(3, 5), (17, 1)]",
Cc1cc(=O)n(C2CCCC2)c2nc(Cl)ncc12,"[(3, 5), (17, 1), (5, 11)]",
Clc1ncc(Br)c(NC2CCCC2)n1,"[(6, 7)]",
COC(=O)/C=C/c1ccc(CNCCc2c(C)[nH]c3ccccc23)cc1,"[(10, 11)]",
COC(=O)/C=C/c1ccc(CNCCc2c(C)[nH]c3ccccc23)cc1,"[(10, 11), (11, 12), (15, 17), (19, 14)]",
Cc1[nH]c2ccccc2c1CCN,"[(4, 5), (2, 6), (12, 1)]",
Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,"[(23, 24)]",
Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,"[(23, 24), (3, 5)]",
Cc1c(C(=O)Nc2ccc(N3C[C@@H](C)O[C@@H](C)C3)nc2)cccc1-c1ccc(OC(F)(F)F)cc1,"[(23, 24), (3, 5), (9, 10)]",
Cc1c(Br)cccc1C(=O)Nc1ccc(N2C[C@@H](C)O[C@@H](C)C2)nc1,"[(3, 5)]",
Cc1c(Br)cccc1C(=O)Nc1ccc(N2C[C@@H](C)O[C@@H](C)C2)nc1,"[(3, 5), (9, 10)]",
C[C@@H]1CN(c2ccc(N)cn2)C[C@H](C)O1,"[(3, 4)]",
COC(=O)[C@]12C[C@@H]1c1cc(OC)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n1C2,"[(5, 6), (4, 5)]",
COC(=O)[C@]12C[C@@H]1c1cc(OC)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n1C2,"[(5, 6), (4, 5), (6, 4), (38, 39)]",
COC(=O)[C@]12C[C@@H]1c1cc(OC)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n1C2,"[(6, 4), (5, 6), (4, 5), (38, 39), (14, 15)]",
COC(=O)[C@]12C[C@@H]1c1cc(OC)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n1C2,"[(14, 15), (6, 4), (5, 6), (4, 5), (38, 39), (27, 29)]",
COC(=O)[C@]12C[C@@H]1c1cc(OC)ccc1-c1c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n1C2,"[(14, 15), (6, 4), (5, 6), (4, 5), (38, 39), (27, 29), (16, 17)]",
COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1C3CCC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,"[(11, 13)]",
COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1C3CCC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,"[(11, 13), (9, 10), (8, 9)]",
COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1C3CCC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,"[(11, 13), (9, 10), (8, 9), (10, 8), (22, 23)]",
COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1C3CCC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,"[(11, 13), (9, 10), (10, 8), (8, 9), (22, 23), (46, 5)]",
COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1C3CCC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,"[(11, 13), (9, 10), (8, 9), (10, 8), (22, 23), (46, 5), (27, 29)]",
COc1ccc2c(c1)[C@@H]1C[C@]1(C(=O)N1C3CCC1CN(C)C3)Cn1c-2c(C2CCCCC2)c2ccc(C(=O)NS(=O)(=O)N(C)C)cc21,"[(11, 13), (9, 10), (10, 8), (8, 9), (22, 23), (46, 5), (27, 29), (39, 40)]",
COC(=O)C1=Cc2cc(OC)ccc2-c2c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n2C1,"[(4, 5), (37, 38)]",
COC(=O)C1=Cc2cc(OC)ccc2-c2c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n2C1,"[(4, 5), (37, 38), (13, 14)]",
COC(=O)C1=Cc2cc(OC)ccc2-c2c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n2C1,"[(4, 5), (37, 38), (13, 14), (26, 28)]",
COC(=O)C1=Cc2cc(OC)ccc2-c2c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n2C1,"[(13, 14), (4, 5), (37, 38), (26, 28), (15, 16)]",
CCOC1c2cc(OC)ccc2-c2c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n21,"[(11, 12), (35, 3)]",
CCOC1c2cc(OC)ccc2-c2c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n21,"[(35, 3), (11, 12), (24, 26)]",
CCOC1c2cc(OC)ccc2-c2c(C3CCCCC3)c3ccc(C(=O)NS(=O)(=O)N(C)C)cc3n21,"[(35, 3), (11, 12), (24, 26), (13, 14)]",
CN(C)S(=O)(=O)NC(=O)c1ccc2c(C3CCCCC3)c(Br)[nH]c2c1,"[(6, 7)]",
CN(C)S(=O)(=O)NC(=O)c1ccc2c(C3CCCCC3)c(Br)[nH]c2c1,"[(6, 7), (18, 19)]",
O=C(O)c1ccc2c(C3CCCCC3)c(Br)[nH]c2c1,"[(12, 13)]",
Brc1ccc2c(c1)CC1c3ccc(Br)cc3O[C@@H](c3ccccc3)N21,"[(8, 15), (7, 8)]",
Brc1ccc2c(c1)CC1c3ccc(Br)cc3O[C@@H](c3ccccc3)N21,"[(8, 15), (7, 8), (15, 16)]",
Brc1ccc2c(c1)CC1c3ccc(Br)cc3O[C@@H](c3ccccc3)N21,"[(15, 16), (8, 15), (7, 8), (24, 15)]",
Brc1ccc2c(c1)CC1c3ccc(Br)cc3O[C@@H](c3ccccc3)N21,"[(15, 16), (8, 15), (24, 15), (7, 8), (24, 4)]",
Oc1cc(Br)ccc1C1Cc2cc(Br)ccc2N1,"[(11, 17)]",
Oc1cc(Br)ccc1C1Cc2cc(Br)ccc2N1,"[(11, 17), (17, 8)]",
Oc1cc(Br)ccc1C1Cc2cc(Br)ccc2N1,"[(11, 17), (17, 8), (7, 8)]",
NC(Cc1cc(Br)ccc1Br)c1ccc(Br)cc1O,"[(0, 1)]",
NC(Cc1cc(Br)ccc1Br)c1ccc(Br)cc1O,"[(0, 1), (1, 11)]",
N=C(Cc1cc(Br)ccc1Br)c1ccc(Br)cc1O,"[(0, 1)]",
N=C(Cc1cc(Br)ccc1Br)c1ccc(Br)cc1O,"[(0, 1), (1, 11)]",
O=C(Cc1cc(Br)ccc1Br)c1ccc(Br)cc1O,"[(1, 11)]",
O=C(Cc1cc(Br)ccc1Br)Oc1cccc(Br)c1,"[(1, 11)]",
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,"[(46, 47), (6, 8)]",
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1nc(-c2ccc3c(c2)O[C@@H](c2ccccc2)n2c-3cc3cc(-c4c[nH]c([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)n4)ccc32)c[nH]1)C(C)C,"[(46, 47), (6, 8), (15, 16), (37, 38)]",
CC(C)(C)OC(=O)N1CCC[C@H]1c1nc(Br)c[nH]1,"[(14, 15)]",
CC(C)(C)OC(=O)N1CCC[C@H]1c1nc(Br)c[nH]1,"[(14, 15), (12, 13), (17, 12)]",
CC(C)(C)OC(=O)N1CCC[C@H]1c1ncc[nH]1,"[(16, 12), (12, 13)]",
COC(=O)[C@@H]1C[C@@H](Oc2nc3cc(OC)ccc3nc2Cl)CN1C(=O)OC(C)(C)C,"[(8, 9), (18, 19), (7, 8)]",
[H][C@@]1(CCCC#C)C[C@@]1([H])OC(C)=O,"[(10, 11)]",
[H][C@@]1(CCCC#C)C[C@@]1([H])OC(C)=O,"[(6, 7), (10, 11)]",
[H][C@@]1(CCCC#C)C[C@@]1([H])OC(C)=O,"[(6, 7), (10, 11), (1, 10), (1, 2), (2, 3)]",
[H][C@@]1(CCCC#C)C[C@@]1([H])O,"[(6, 7)]",
[H][C@@]1(CCCC#C)C[C@@]1([H])O,"[(6, 7), (1, 10), (1, 2), (2, 3)]",
[H][C@@]1(CCCCl)C[C@@]1([H])O,"[(1, 9), (1, 2), (2, 3)]",
[H][C@]12CCCCCC3=NC4=CC=C(OC)C=C4N=C3O[C@@H]3C[C@@H](C(=O)N[C@]4(C(=O)NS(=O)(=O)C5CC5)C[C@H]4C=C)N(C3)C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1([H])C2,"[(15, 16)]",
[H][C@]12CCCCCC3=NC4=CC=C(OC)C=C4N=C3O[C@@H]3C[C@@H](C(=O)N[C@]4(C(=O)NS(=O)(=O)C5CC5)C[C@H]4C=C)N(C3)C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1([H])C2,"[(32, 34), (15, 16)]",
[H][C@]12CCCCCC3=NC4=CC=C(OC)C=C4N=C3O[C@@H]3C[C@@H](C(=O)N[C@]4(C(=O)NS(=O)(=O)C5CC5)C[C@H]4C=C)N(C3)C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1([H])C2,"[(32, 34), (15, 16), (8, 9)]",
[H][C@]12CCCCCC3=NC4=CC=C(OC)C=C4N=C3O[C@@H]3C[C@@H](C(=O)N[C@]4(C(=O)NS(=O)(=O)C5CC5)C[C@H]4C=C)N(C3)C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1([H])C2,"[(32, 34), (15, 16), (8, 9), (41, 43)]",
[H][C@]12CCCCCC3=NC4=CC=C(OC)C=C4N=C3O[C@@H]3C[C@@H](C(=O)OC)N(C3)C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1([H])C2,"[(19, 21)]",
[H][C@]12CCCCCC3=NC4=CC=C(OC)C=C4N=C3O[C@@H]3C[C@@H](C(=O)OC)N(C3)C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1([H])C2,"[(19, 21), (8, 9)]",
[H][C@]12CCCCCC3=NC4=CC=C(OC)C=C4N=C3O[C@@H]3C[C@@H](C(=O)OC)N(C3)C(=O)[C@H](C(C)(C)C)NC(=O)O[C@]1([H])C2,"[(19, 21), (8, 9), (28, 30)]",
[H][C@@]1(CCCCCC2=NC3=CC=C(OC)C=C3N=C2O[C@@H]2C[C@@H](C(=O)OC)N(C(=O)OC(C)(C)C)C2)C[C@@]1([H])OC(=O)N[C@H](C(=O)O)C(C)(C)C,"[(8, 9)]",
[H][C@@]1(CCCCCC2=NC3=CC=C(OC)C=C3N=C2O[C@@H]2C[C@@H](C(=O)OC)N(C(=O)OC(C)(C)C)C2)C[C@@]1([H])OC(=O)N[C@H](C(=O)O)C(C)(C)C,"[(8, 9), (39, 40)]",
[H][C@@]1(CCCC#C)C[C@@]1([H])OC(=O)N[C@H](C(=O)O)C(C)(C)C,"[(10, 11)]",
CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,"[(5, 6)]",
CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,"[(12, 13), (5, 6)]",
CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,"[(12, 13), (5, 6), (19, 20)]",
CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,"[(19, 20), (12, 13), (5, 6), (22, 24), (22, 23)]",
CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,"[(22, 23), (22, 24), (19, 20), (12, 13), (5, 6), (20, 21)]",
CC(C)(C)[C@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)O)C2(C)C,"[(23, 25)]",
CC(C)(C)[C@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)O)C2(C)C,"[(23, 25), (8, 9)]",
CC(C)(C)[C@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)O)C2(C)C,"[(8, 9), (23, 25), (11, 12), (11, 13)]",
CC(C)(C)[C@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)O)C2(C)C,"[(11, 12), (11, 13), (9, 10), (8, 9), (23, 25)]",
CC(C)(C)[C@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(=O)O,"[(8, 9)]",
CC(C)(C)[C@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(=O)O,"[(8, 9), (11, 12), (11, 13)]",
CC(C)(C)[C@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(=O)O,"[(8, 9), (11, 13), (11, 12), (9, 10)]",
CC(C)(C)S(=O)(=O)CC1(C(=O)O)CCCCC1,"[(4, 5), (4, 6)]",
CC(C)(C)S(=O)(=O)CC1(C(=O)O)CCCCC1,"[(4, 5), (4, 6), (7, 8)]",
COC(=O)C1(CSC(C)(C)C)CCCCC1,"[(4, 5)]",
CCCC[C@@H]([C@H](O)C(=O)NC1CC1)N(Cc1ccccc1)[C@@H](C)c1ccccc1,"[(7, 9)]",
CCCC[C@@H]([C@H](O)C(=O)NC1CC1)N(Cc1ccccc1)[C@@H](C)c1ccccc1,"[(7, 9), (5, 6)]",
CCCC[C@@H]([C@H](O)C(=O)NC1CC1)N(Cc1ccccc1)[C@@H](C)c1ccccc1,"[(7, 9), (5, 6), (4, 13)]",
CCCC[C@@H]([C@H](O)C(=O)NC1CC1)N(Cc1ccccc1)[C@@H](C)c1ccccc1,"[(7, 9), (5, 6), (4, 13), (4, 5)]",
CCCC[C@@H]([C@H](O)C(=O)OC(C)(C)C)N(Cc1ccccc1)[C@@H](C)c1ccccc1,"[(5, 6)]",
CCCC[C@@H]([C@H](O)C(=O)OC(C)(C)C)N(Cc1ccccc1)[C@@H](C)c1ccccc1,"[(5, 6), (4, 14)]",
CCCC[C@@H]([C@H](O)C(=O)OC(C)(C)C)N(Cc1ccccc1)[C@@H](C)c1ccccc1,"[(5, 6), (4, 14), (4, 5)]",
CCCC/C=C/C(=O)OC(C)(C)C,"[(4, 5)]",
COc1c(N2C[C@@H](C)C[C@H](NC(=O)OC(C)(C)C)C2)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(3, 4)]",
COc1c(N2C[C@@H](C)C[C@H](NC(=O)OC(C)(C)C)C2)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(3, 4), (29, 31)]",
COc1c(N2C[C@@H](C)C[C@H](NC(=O)OC(C)(C)C)C2)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(29, 31), (3, 4), (22, 23), (23, 27)]",
COc1c(N2C[C@@H](C)C[C@H](NC(=O)OC(C)(C)C)C2)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(29, 31), (23, 27), (22, 23), (3, 4), (27, 28)]",
COc1c(N2C[C@@H](C)C[C@H](NC(=O)OC(C)(C)C)C2)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(27, 28), (23, 27), (22, 23), (29, 31), (3, 4), (28, 29)]",
COc1c(N2C[C@@H](C)C[C@H](NC(=O)OC(C)(C)C)C2)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(29, 31), (28, 29), (27, 28), (23, 27), (22, 23), (3, 4), (0, 1)]",
COc1c(N2C[C@@H](C)C[C@H](NC(=O)OC(C)(C)C)C2)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(3, 4), (0, 1), (1, 2), (22, 23), (23, 27), (27, 28), (28, 29), (29, 31)]",
COc1c(F)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(15, 17)]",
COc1c(F)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(15, 17), (8, 9), (9, 13)]",
COc1c(F)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(15, 17), (9, 13), (8, 9), (13, 14), (14, 15)]",
COc1c(F)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(15, 17), (14, 15), (13, 14), (9, 13), (8, 9), (0, 1)]",
COc1c(F)ccc2c(=O)c(C(=O)OB(OC(C)=O)OC(C)=O)cn(C3CC3)c12,"[(15, 17), (14, 15), (13, 14), (9, 13), (8, 9), (0, 1), (1, 2)]",
CCOC(=O)c1cn(C2CC2)c2c(OC)c(F)ccc2c1=O,"[(6, 7), (7, 11)]",
CCOC(=O)c1cn(C2CC2)c2c(OC)c(F)ccc2c1=O,"[(7, 11), (6, 7), (5, 6), (3, 5)]",
CCOC(=O)c1cn(C2CC2)c2c(OC)c(F)ccc2c1=O,"[(7, 11), (6, 7), (5, 6), (3, 5), (18, 19)]",
CCOC(=O)c1cn(C2CC2)c2c(OC)c(F)ccc2c1=O,"[(17, 18), (18, 19), (7, 11), (6, 7), (5, 6), (3, 5)]",
CCOC(=O)/C(=C\N(C)C)C(=O)c1ccc(F)c(OC)c1F,"[(5, 6)]",
CCOC(=O)/C(=C\N(C)C)C(=O)c1ccc(F)c(OC)c1F,"[(5, 6), (3, 5)]",
CCOC(=O)/C(=C\N(C)C)C(=O)c1ccc(F)c(OC)c1F,"[(5, 6), (3, 5), (16, 17)]",
CCOC(=O)/C(=C\N(C)C)C(=O)c1ccc(F)c(OC)c1F,"[(5, 6), (3, 5), (16, 17), (15, 16)]",
CC(=O)c1ccc(F)c(O)c1F,"[(6, 7)]",
C[C@@H]1CNC[C@@H](NC(=O)OC(C)(C)C)C1,"[(2, 3), (3, 4)]",
O=C(CBr)c1ccc2c(c1)COc1cc3c(cc1-2)CCC(Br)C3=O,"[(2, 3), (20, 21)]",
O=C(CBr)c1ccc2c(c1)COc1cc3c(cc1-2)CCC(Br)C3=O,"[(2, 3), (20, 21), (17, 7)]",
O=C(CBr)c1ccc2c(c1)COc1cc3c(cc1-2)CCC(Br)C3=O,"[(17, 7), (2, 3), (20, 21), (10, 11)]",
O=C(CBr)c1ccc2c(c1)COc1cc3c(cc1-2)CCC(Br)C3=O,"[(2, 3), (17, 7), (10, 11), (20, 21), (1, 4)]",
CC(=O)c1ccc(Br)c(COc2ccc3c(c2)C(=O)CCC3)c1,"[(6, 7)]",
CC(=O)c1ccc(Br)c(COc2ccc3c(c2)C(=O)CCC3)c1,"[(6, 7), (1, 3)]",
CC(=O)c1ccc(Br)c(CBr)c1,"[(1, 3)]",
COC[C@H]1C[C@@H](C(=O)O)N(C(=O)OC(C)(C)C)C1,"[(0, 1)]",
COC[C@H]1C[C@@H](C(=O)O)N(C(=O)OC(C)(C)C)C1,"[(0, 1), (17, 3), (9, 17)]",
COC(=O)C1=CN(C(=O)OC(C)(C)C)C(C(=O)OC(C)(C)C)C1,"[(4, 5), (5, 6)]",
COC(=O)N[C@H](C(=O)N1[C@@H](C)CC[C@H]1C(=O)O)C(C)C,"[(6, 8)]",
COC(=O)N[C@H](C(=O)N1[C@@H](C)CC[C@H]1C(=O)O)C(C)C,"[(6, 8), (8, 9)]",
COC(=O)N[C@H](C(=O)N1[C@@H](C)CC[C@H]1C(=O)O)C(C)C,"[(6, 8), (8, 9), (9, 10)]",
CCOC(=O)[C@@H]1CC[C@H](C)N1,"[(8, 10)]",
CCOC(=O)[C@@H]1CC[C@H](C)N1,"[(8, 10), (8, 9)]",
CCOC(=O)[C@H](CCC(C)=O)NC(=O)OC(C)(C)C,"[(8, 9)]",
COC[C@H]1C[C@@H](c2nc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)c[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,"[(34, 35), (49, 50)]",
COC[C@H]1C[C@@H](c2nc(-c3ccc4c(c3)COc3cc5c(ccc6nc([C@@H]7CC[C@H](C)N7C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]c65)cc3-4)c[nH]2)N(C(=O)[C@H](NC(=O)OC)c2ccccc2)C1,"[(34, 35), (49, 50), (7, 8), (47, 48), (28, 46), (24, 27)]",
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC12CN(C(=O)OC(C)(C)C)C2,"[(5, 6)]",
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC12CN(C(=O)OC(C)(C)C)C2,"[(5, 6), (27, 28)]",
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC12CN(C(=O)OC(C)(C)C)C2,"[(27, 28), (5, 6), (26, 27)]",
CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC12CN(C(=O)OC(C)(C)C)C2,"[(26, 27), (25, 26), (5, 6), (27, 28)]",
CO/N=C1\CN(C(=O)OCc2ccccc2)CC12CNC2,"[(18, 19)]",
CO/N=C1\CN(C(=O)OCc2ccccc2)CC12CNC2,"[(18, 19), (17, 18)]",
CO/N=C1\CN(C(=O)OCc2ccccc2)CC1(C#N)CO,"[(17, 20)]",
CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,"[(7, 14), (5, 7)]",
CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,"[(3, 4), (7, 14), (5, 7)]",
CCC[C@@H](CBr)CC(=O)OCC,"[(3, 6)]",
CCC[C@H]1COC(=O)C1,"[(5, 6)]",
CCC[C@H]1COC(=O)C1,"[(5, 6), (8, 3)]",
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,"[(6, 7)]",
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,"[(13, 14), (14, 26), (6, 7)]",
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,"[(13, 14), (14, 26), (6, 7), (11, 12)]",
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,"[(13, 14), (14, 26), (11, 12), (6, 7), (2, 3)]",
COc1cc(-c2nc(-c3c(Cl)nc(C)c(Cl)c3C)no2)cc([N+](=O)[O-])c1O,"[(19, 5), (5, 6)]",
COc1cc(-c2nc(-c3c(Cl)nc(C)c(Cl)c3C)no2)cc([N+](=O)[O-])c1O,"[(19, 5), (5, 6), (7, 18)]",
COc1cc(-c2nc(-c3c(Cl)nc(C)c(Cl)c3C)no2)cc([N+](=O)[O-])c1O,"[(19, 5), (5, 6), (7, 18), (14, 15)]",
COc1cc(-c2nc(-c3c(Cl)nc(C)c(Cl)c3C)no2)cc([N+](=O)[O-])c1O,"[(14, 15), (7, 18), (19, 5), (5, 6), (16, 8), (11, 12)]",
Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1,"[(6, 7), (2, 3), (11, 12), (13, 14), (14, 26), (10, 1), (4, 6)]",
COc1cc(C(=O)Cl)cc([N+](=O)[O-])c1O,"[(5, 7)]",
COc1cc(C(=O)Cl)cc([N+](=O)[O-])c1O,"[(9, 10), (5, 7)]",
COc1cc(C(=O)O)cc([N+](=O)[O-])c1O,"[(9, 10)]",
